name_speaker,speaker_link,profession,info_about
Alexandra Auer,https://us.allianzgi.com/en-us/our-experts/our-experts-details/alexandra-auer,Social designer,Alexandra Auer designs interactive experiences in physical environments.
Elizabeth Gilbert,http://www.elizabethgilbert.com/,Writer,The author of Eat Pray Love Elizabeth Gilbert has thought long and hard about some big topics. Her fascinations: genius creativity and how we get in our own way when it comes to both.
Butterscotch ,http://butterscotchmusic.com/,Singer,Butterscotch uses her powerful voice and sounds to sing about love life and everything in between. Her mission is to empower and elevate people through music and compassion.
Ethan Lisi,https://www.linkedin.com/in/ethan-lisi-7a8155195/,Neurodiversity advocate,Ethan Lisi believes we are all different and unique in our own way.
Matt Walker,https://en.wikipedia.org/wiki/Matthew_Walker_(scientist),Sleep scientist,Matt Walker is a brain scientist trying to understand why we sleep.
Sonia Shah,http://soniashah.com/,Science writer,Science historian Sonia Shah explores the surprisingly fascinating story behind an ancient scourge: malaria.
Mary Ellen Hannibal,https://www.maryellenhannibal.com/,Author,In her book Citizen Scientist Mary Ellen Hannibal traces the origins of today’s tech-savvy citizen science movement back through centuries of amateur observations by writers and naturalists.
Todd Dufresne,https://en.wikipedia.org/wiki/Todd_Dufresne,Educator,Todd Dufresne is a Professor of Philosophy. He has served in numerous administrative positions over the years from Philosophy Department Chair to Founding (Interim) Division Head of Human Sciences at NOSM.
Rabby Lord jonathan Sucks,http://rabbisacks.org/,Religious leader,Rabbi Lord Jonathan Sacks is one of Judaism's spiritual leaders and he exercises a primary influence on the thought and philosophy of Jews and people of all faiths worldwide. He is an award-winning author whose latest bestselling book is Morality: Restoring the Common Good in Divided Times.
Martha Minow ,https://hls.harvard.edu/faculty/directory/10589/Minow,Martha Minow ,Former Harvard Law School Dean Martha Minow tackles the unintended effects of technology on those already impacted by discrimination and disadvantage.
Priya Parker,https://www.priyaparker.com/,Conflict mediator,Priya Parker teaches people to gather better at home at work at school and in our communities.
Alex Gendler,https://www.linkedin.com/in/alex-gendler-98b997a8,Educator,Alex Gendler is a freelance writer editor translator and general dilettante with specialties ranging from history and political theory to internet culture and animal videos.
Elisabeth Pierre,https://www.northpark.edu/faculty-staff-directory/elizabeth-pierre/,Zythologist,Dr. Elizabeth Pierre teaches graduate courses in the Seminary and the School of Professional Studies
Seth Berkley ,https://www.gavi.org/,Vaccine visionary,Epidemiologist Seth Berkley is leading the charge to make sure vaccines are available to everyone including those living in the developing world.
Hindou Oumarou Ibrahim,https://twitter.com/hindououmar,Environmental activist,Hindou Oumarou Ibrahim advocates for the inclusion of Indigenous peoples along with their knowledge and traditions in the global movement to fight climate change.
Bill Gates,https://www.gatesnotes.com/,Technologist,A passionate techie and a shrewd businessman Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again with his own style of philanthropy and passion for innovation.
Chris Anderson,http://www.ted.com/,Head of TED,After a long career in journalism and publishing Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.
Gary Liu,http://www.scmp.com/frontpage/international,Media executive,Gary Liu is CEO of the South China Morning Post a leading news media company that has reported on China and Asia for more than a century.
Anees Bahji,https://residentdoctors.ca/resident-profile/dr-anees-bahji/,Educator,I am Anees Bahji a PGY–2 psychiatry resident at Queen’s University in Kingston Ontario. I was born in New Westminster BC and went to Simon Fraser University. I did my medical degree at the University of British Columbia.
Noeline Kirabo,https://www.noelinekirabo.com/,Social entrepreneur,Noeline Kirabo self-educated her way out of the slums of Kampala Uganda. Now she helps vulnerable youth gain skills to turn their passions into profitable businesses.
Johanna Figueira,https://www.linkedin.com/in/johannafigueira,Digital marketing consultant,Johanna Figueira is a strategist and digital marketer with Wells Fargo. She is also one of the co-organizers of Code for Venezuela an organization that leverages technology to help nonprofits in Venezuela.
David Lindell,https://www.davidlindell.com/,Electrical engineer,David Lindell develops next-generation algorithms and systems for imaging the world in 3D.
Susan David,https://www.susandavid.com/,Psychologist,Harvard Medical School psychologist Susan David studies emotional agility: the psychology of how we can use emotion to bring forward our best selves in all aspects of how we love live parent and lead.
Soraya Field Fiorio,https://www.sorayafieldfiorio.com/,Educator,Soraya Field Fiorio is a historian writer and musician based in New York City. Her research interests include intellectual history comparative mythology and the Neolithic and Bronze Age cultures of the ancient Near East and Aegean.
Molly Webster,https://comscicon.com/people/molly-webster,Sex chromosome editor,As a guest host and features producer at WNYC's Radiolab Molly Webster has investigated everything from international surrogacy to metamorphosis.
